,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,11718%,4.25E+12,4.85E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1100%,36000000000,4600000000,50000000,1,,,,,,,,,,,,,,,,,,,,
,61%,162000000,4680000000,150,1,,,,,,,,,,,,,,,,,,,,
,20%,Don't know (spontaneous),Don't know (spontaneous),1E+11,1,,,,,,,,,,,,,,,,,,,,
,300%,2160000000,3240000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,3%,580000000,400000000,90000000,1,,,,,,,,,,,,,,,,,,,,
,20%,28650000000,780000000,2300000000,2,,,,,,,,,,,,,,,,,,,,
,147%,42000000000,35000000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,11825%,1.4E+12,1.5E+12,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-33%,Don't know (spontaneous),60000000000,300000000,2,,,,,,,,,,,,,,,,,,,,
,1%,6540000000,6510000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,59%,9000000000,10000000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,1%,3400000000,2900000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,-13%,2.5E+11,2E+11,4800000000,1,,,,,,,,,,,,,,,,,,,,
,30%,6.5E+11,5.25E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,15%,1.87E+11,2.17E+11,5.736E+11,3,,,,,,,,,,,,,,,,,,,,
,25%,1.3E+11,1100000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,22%,Don't know (spontaneous),Don't know (spontaneous),5000,2,,,,,,,,,,,,,,,,,,,,
,0%,3360000000,280000000,1000000000,2,,,,,,,,,,,,,,,,,,,,
,99584862%,1.42E+11,88000000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,900%,1800000000,1500000000,10000000000,Micro,,,,,,,,,,,,,,,,,,,,
,-6%,60000000000,15000000000,20000000000,1,,,,,,,,,,,,,,,,,,,,
,-27%,3900000000,3778000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-100%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,-67%,1800000000,1500000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,81352%,2.52E+11,1.02E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,3.84E+11,3220000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-17%,3600000000,5400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-25%,840000000,830000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-2%,6008000000,3782314000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-50%,504000000,498000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,10488%,Don't know (spontaneous),Don't know (spontaneous),70,2,,,,,,,,,,,,,,,,,,,,
,18%,3684000000,4248000000,7000000000,2,,,,,,,,,,,,,,,,,,,,
,1100%,7800000000,6000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,14%,620000000,540000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1277%,20000000000,16000000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,-9%,1465000000,1198000000,100,1,,,,,,,,,,,,,,,,,,,,
,625%,5000000000,5000000000,75,3,,,,,,,,,,,,,,,,,,,,
,0%,6.6224E+12,6650000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,728%,2500000000,250000000,60000000,3,,,,,,,,,,,,,,,,,,,,
,-33%,800000000,850000000,15000000,2,,,,,,,,,,,,,,,,,,,,
,-3%,400000000,550000000,12000000,3,,,,,,,,,,,,,,,,,,,,
,121718%,975000000,1E+12,800000000,3,,,,,,,,,,,,,,,,,,,,
,-15%,1000000000,3000000000,200000000,2,,,,,,,,,,,,,,,,,,,,
,85614%,4.848E+11,595200000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-33%,1200000000,1000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-20%,500000000,600000000,300000000,3,,,,,,,,,,,,,,,,,,,,
,-7%,4800000000,Don't know (spontaneous),Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-26%,600000000,800000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,12%,1475000000,1500000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
